Date,Product,Category,Quantity,Price,Discount
2023-06-20,Product_51,Books,19.0,129.19,0.2
2023-01-29,Product_39,Electronics,14.0,339.63,0.25
2023-02-05,Product_51,Home & Kitchen,19.0,354.78,0.1
2023-01-13,Product_70,Toys,3.0,306.95,0.2
2023-06-09,,Toys,10.0,159.89,0.18
2023-03-12,Product_67,Books,19.0,139.19,0.18
2023-07-06,Product_7,Toys,9.0,300.85,0.2
2023-03-27,Product_51,Electronics,13.0,433.72,0.17
2023-01-28,Product_72,Electronics,7.0,473.63,0.13
2023-03-07,Product_42,Books,14.0,57.42,0.08
2023-06-19,Product_64,Books,9.0,81.64,0.23
2023-02-14,Product_15,Books,19.0,472.64,0.07
2023-03-03,Product_29,Home & Kitchen,15.0,369.58,0.21
2023-07-04,Product_33,Toys,14.0,442.08,0.07
2023-05-14,Product_94,,6.0,105.3,0.19
2023-01-28,Product_27,Clothing,4.0,295.86,0.22
2023-01-28,Product_36,Clothing,8.0,352.06,0.07
2023-04-18,Product_29,Electronics,17.0,341.66,0.02
2023-02-13,Product_38,Toys,9.0,207.04,0.04
2023-03-25,,Books,1.0,12.62,0.18
2023-01-30,Product_97,Clothing,14.0,293.55,0.25
2023-07-09,Product_27,Toys,11.0,130.29,0.01
2023-03-16,Product_55,Electronics,3.0,227.88,0.22
2023-05-08,Product_33,,9.0,479.0,0.1
2023-04-02,Product_68,Toys,14.0,202.52,0.14
2023-07-09,Product_86,Toys,9.0,420.7,0.28
2023-05-09,Product_66,Home & Kitchen,4.0,98.33,0.1
2023-05-01,Product_10,Toys,4.0,337.87,0.14
2023-01-27,Product_5,Electronics,8.0,488.62,0.0
2023-07-09,Product_74,Electronics,2.0,55.44,0.02
2023-05-01,Product_97,Home & Kitchen,9.0,9.12,0.08
2023-04-26,Product_38,Books,14.0,219.62,0.01
2023-01-03,Product_13,Clothing,9.0,50.85,0.19
2023-04-13,Product_31,Books,16.0,375.45,0.13
2023-07-17,Product_47,,,457.7,0.16
2023-07-19,Product_100,Clothing,16.0,219.84,0.05
2023-06-04,Product_88,Home & Kitchen,12.0,133.06,0.09
2023-05-17,Product_52,Home & Kitchen,3.0,220.03,0.2
2023-03-03,Product_56,Clothing,11.0,363.11,0.29
2023-06-14,,Electronics,,9.48,0.02
2023-02-20,Product_29,Clothing,18.0,296.78,0.27
2023-06-21,Product_8,Toys,5.0,308.58,0.17
2023-06-01,Product_5,Electronics,16.0,320.66,0.17
2023-02-28,Product_29,Home & Kitchen,5.0,124.8,0.15
2023-04-28,Product_47,Clothing,3.0,358.46,0.02
2023-06-09,Product_68,Books,12.0,50.24,0.03
2023-04-06,Product_76,Books,1.0,103.64,0.18
2023-06-29,Product_45,,9.0,439.35,0.1
2023-04-23,Product_2,Books,9.0,370.67,0.28
2023-03-03,Product_27,Clothing,4.0,11.8,0.12
2023-07-05,Product_95,Clothing,,127.95,0.04
2023-02-21,Product_36,Books,17.0,111.13,0.21
2023-01-12,,Clothing,2.0,139.05,0.09
2023-02-08,Product_26,Toys,1.0,127.54,0.16
2023-05-10,Product_43,Electronics,8.0,35.95,0.21
2023-05-11,Product_27,Toys,13.0,232.18,0.27
2023-04-23,Product_69,Toys,15.0,367.7,0.24
2023-04-11,Product_20,,8.0,305.33,0.2
2023-04-23,Product_11,Electronics,12.0,338.07,0.2
2023-07-03,Product_74,Clothing,12.0,45.17,0.28
2023-03-22,Product_38,Home & Kitchen,14.0,475.99,0.09
2023-07-06,Product_6,Clothing,15.0,420.05,0.0
2023-04-23,Product_72,Clothing,15.0,403.52,0.08
2023-01-02,Product_23,Clothing,9.0,412.38,0.07
2023-05-10,Product_47,Electronics,19.0,466.69,0.2
2023-02-23,Product_90,Clothing,8.0,274.41,0.19
2023-03-28,Product_46,Electronics,19.0,104.14,0.18
2023-05-09,Product_12,Books,6.0,310.31,0.0
2023-05-27,Product_90,Home & Kitchen,19.0,372.73,0.22
2023-05-06,Product_13,Electronics,4.0,370.27,0.1
2023-05-10,Product_62,Books,7.0,263.12,0.2
2023-02-22,Product_82,Electronics,4.0,38.89,0.17
2023-06-21,Product_89,Electronics,12.0,188.7,0.1
2023-06-09,Product_97,Home & Kitchen,13.0,460.78,0.04
2023-07-17,Product_60,Toys,3.0,294.3,0.03
2023-06-09,Product_43,Toys,12.0,271.47,0.25
2023-03-09,Product_76,Electronics,2.0,138.08,0.28
2023-07-02,Product_100,Clothing,2.0,187.38,0.19
2023-07-03,,Books,9.0,448.2,0.03
2023-05-03,Product_5,Clothing,1.0,334.9,0.12
2023-05-25,Product_37,Clothing,8.0,394.76,0.22
2023-02-07,Product_72,Electronics,6.0,229.9,0.23
2023-01-24,Product_92,Electronics,6.0,316.97,0.04
2023-03-10,Product_31,,18.0,127.95,0.0
2023-04-26,Product_9,,17.0,354.2,0.21
2023-04-08,Product_51,Toys,12.0,216.66,0.11
2023-07-17,Product_29,Electronics,6.0,224.06,0.08
2023-05-19,Product_78,Toys,8.0,326.41,0.0
2023-05-24,Product_40,Toys,19.0,468.46,0.16
2023-04-07,Product_41,Electronics,10.0,36.68,0.26
2023-05-04,Product_86,Home & Kitchen,1.0,413.25,0.29
2023-07-06,Product_11,Books,13.0,149.73,0.17
2023-03-11,Product_23,Clothing,17.0,224.74,0.15
2023-04-03,Product_1,Toys,3.0,15.85,0.03
2023-01-03,Product_46,Books,8.0,154.02,0.16
2023-05-28,Product_21,Home & Kitchen,14.0,253.8,0.11
2023-07-06,Product_90,,3.0,32.81,0.18
2023-06-13,Product_36,Clothing,16.0,248.09,0.12
2023-05-27,Product_54,Toys,13.0,463.92,0.07
2023-03-31,Product_87,Electronics,,57.17,0.03
2023-07-14,Product_57,Home & Kitchen,,383.4,0.09
2023-05-27,,Toys,6.0,207.79,0.03
2023-05-28,Product_63,Home & Kitchen,17.0,329.31,0.05
2023-04-06,Product_54,Electronics,14.0,133.82,0.3
2023-07-18,Product_55,Electronics,,83.95,0.13
2023-02-21,Product_40,Toys,8.0,84.43,0.16
2023-06-10,Product_15,Electronics,11.0,39.89,0.26
2023-06-17,Product_21,Books,1.0,96.9,0.3
2023-05-08,Product_47,Clothing,,333.79,0.17
2023-02-08,Product_73,,17.0,441.44,0.24
2023-03-23,Product_53,,10.0,407.99,0.1
2023-04-14,Product_9,Books,11.0,344.14,0.09
2023-05-09,Product_74,Toys,9.0,59.66,0.12
2023-01-11,Product_52,Electronics,9.0,148.15,0.2
2023-07-04,,Electronics,5.0,158.35,0.2
2023-06-27,Product_26,Electronics,17.0,128.73,0.09
2023-05-31,Product_41,Electronics,9.0,259.93,0.04
2023-06-08,Product_35,Home & Kitchen,17.0,270.1,0.19
2023-02-11,Product_63,,19.0,181.66,0.04
2023-04-09,Product_25,Clothing,7.0,180.13,0.17
2023-01-07,Product_90,Home & Kitchen,9.0,415.14,0.21
2023-05-24,Product_75,Home & Kitchen,7.0,395.7,0.21
2023-03-31,Product_38,Clothing,13.0,157.36,0.23
2023-04-22,Product_2,Clothing,,457.33,0.26
2023-03-01,,Electronics,,476.64,0.15
2023-04-23,Product_82,Home & Kitchen,19.0,166.74,0.22
2023-01-02,Product_91,Toys,,180.44,0.19
2023-05-09,Product_34,Clothing,13.0,255.29,0.06
2023-02-17,Product_91,Clothing,14.0,470.85,0.01
2023-05-20,Product_17,Books,13.0,438.78,0.09
2023-07-16,Product_43,Toys,1.0,55.77,0.13
2023-02-06,Product_59,Toys,8.0,199.4,0.19
2023-06-09,Product_51,Clothing,12.0,278.92,0.25
2023-01-09,Product_54,Electronics,19.0,254.05,0.06
2023-04-09,Product_24,Books,12.0,100.96,0.04
2023-05-27,,Toys,8.0,430.11,0.29
2023-02-17,Product_71,Clothing,8.0,340.09,0.03
2023-05-11,Product_52,Toys,13.0,419.76,0.14
2023-05-28,Product_70,Books,,430.09,0.18
2023-06-01,Product_88,Books,16.0,375.44,0.16
2023-02-23,Product_33,Home & Kitchen,1.0,222.41,0.03
2023-04-30,Product_49,Clothing,13.0,307.22,0.02
2023-06-10,Product_29,Books,7.0,84.38,0.03
2023-06-01,Product_63,Home & Kitchen,5.0,338.45,0.18
2023-04-26,Product_22,Home & Kitchen,8.0,93.73,0.16
2023-03-16,Product_26,Toys,14.0,348.51,0.07
2023-04-23,Product_28,Toys,13.0,118.65,0.19
2023-07-19,Product_85,Home & Kitchen,15.0,63.19,0.25
2023-06-13,Product_49,Toys,17.0,86.82,0.01
2023-06-15,Product_71,Books,15.0,5.99,0.15
2023-04-14,Product_81,Electronics,18.0,360.78,0.21
2023-03-25,Product_84,Books,18.0,367.54,0.08
2023-04-22,Product_49,Home & Kitchen,2.0,259.89,0.09
2023-04-09,Product_20,Home & Kitchen,4.0,84.87,0.18
2023-06-02,Product_86,Books,1.0,46.36,0.27
2023-04-03,Product_92,Toys,4.0,14.47,0.24
2023-05-26,Product_63,Toys,,87.05,0.17
2023-05-08,Product_61,Home & Kitchen,5.0,445.97,0.22
2023-04-20,,Clothing,19.0,124.56,0.11
2023-03-23,Product_71,Toys,15.0,180.36,0.19
2023-07-13,Product_1,Books,8.0,57.15,0.14
2023-02-23,Product_96,Toys,17.0,115.07,0.06
2023-06-12,,Books,1.0,262.02,0.21
2023-07-08,Product_94,Home & Kitchen,12.0,305.84,0.17
2023-06-18,Product_87,Toys,19.0,126.45,0.11
2023-06-10,Product_51,Books,15.0,33.58,0.27
2023-03-09,Product_56,Home & Kitchen,9.0,198.56,0.01
2023-02-02,Product_83,Clothing,7.0,120.93,0.09
2023-05-22,Product_62,Books,2.0,113.68,0.02
2023-01-21,Product_32,Clothing,9.0,480.13,0.23
2023-02-17,Product_30,Clothing,10.0,310.07,0.21
2023-05-28,Product_29,Electronics,2.0,280.65,0.1
2023-05-08,,Toys,19.0,210.81,0.2
2023-05-16,Product_45,Books,11.0,217.33,0.12
2023-05-15,Product_93,Clothing,13.0,272.75,0.23
2023-07-14,Product_30,Electronics,10.0,349.73,0.14
2023-05-25,Product_16,Home & Kitchen,14.0,352.56,0.12
2023-05-08,Product_40,Books,18.0,89.99,0.28
2023-02-02,Product_19,Clothing,19.0,252.56,0.08
2023-06-25,Product_18,Toys,9.0,208.92,0.04
2023-07-06,Product_1,Electronics,7.0,435.91,0.18
2023-04-25,Product_78,Clothing,3.0,317.55,0.29
2023-04-29,Product_47,Toys,6.0,268.59,0.11
2023-01-22,Product_66,Clothing,2.0,62.12,0.02
2023-06-07,Product_92,Books,6.0,304.79,0.1
2023-02-07,Product_94,Books,3.0,63.02,0.15
2023-04-19,Product_38,Books,16.0,171.92,0.05
2023-02-20,Product_51,Electronics,8.0,75.71,0.2
2023-07-01,,Books,2.0,347.58,0.3
2023-01-08,Product_4,Toys,17.0,107.09,0.14
2023-01-27,Product_1,Clothing,9.0,198.97,0.11
2023-01-27,Product_8,Home & Kitchen,12.0,448.36,0.12
2023-01-21,,Toys,3.0,106.14,0.03
2023-01-30,Product_55,Toys,11.0,256.36,0.26
2023-04-07,Product_3,Books,1.0,212.54,0.12
2023-01-28,Product_32,Electronics,13.0,13.97,0.12
2023-04-21,Product_10,Clothing,15.0,397.42,0.2
2023-07-11,Product_74,Electronics,5.0,39.18,0.13
2023-07-16,Product_83,Clothing,17.0,239.76,0.19
2023-03-02,Product_34,Clothing,6.0,282.54,0.02
2023-02-17,Product_97,Electronics,11.0,316.07,0.24
2023-05-27,Product_87,Toys,18.0,345.87,0.28
2023-01-04,Product_55,Clothing,,130.37,0.19
2023-02-04,Product_92,Electronics,3.0,9.94,0.29
2023-07-11,Product_32,Clothing,13.0,363.1,0.05
2023-02-18,Product_50,Home & Kitchen,9.0,270.15,0.14
2023-01-17,Product_7,Toys,6.0,418.88,0.18
2023-06-21,,Books,12.0,411.59,0.17
2023-06-07,Product_8,,2.0,422.45,0.12
2023-02-15,Product_65,Home & Kitchen,3.0,245.12,0.1
2023-04-27,Product_57,Books,3.0,170.15,0.04
2023-01-06,Product_67,Books,12.0,396.82,0.12
2023-04-09,Product_88,Clothing,15.0,228.39,0.05
2023-05-04,Product_87,Electronics,9.0,95.8,0.22
2023-02-06,Product_59,Clothing,8.0,428.21,0.06
2023-01-24,Product_72,Home & Kitchen,11.0,441.87,0.02
2023-04-03,Product_54,Books,16.0,235.82,0.17
2023-02-15,Product_67,Clothing,4.0,42.47,0.18
2023-06-30,Product_51,Electronics,1.0,196.97,0.26
2023-04-05,Product_97,Clothing,7.0,402.75,0.17
2023-04-09,Product_92,Toys,2.0,451.38,0.1
2023-07-07,Product_8,Electronics,5.0,105.72,0.24
2023-04-26,Product_34,,7.0,38.15,0.16
2023-07-10,Product_35,Books,4.0,439.29,0.02
2023-06-09,Product_96,Clothing,5.0,197.76,0.17
2023-06-10,Product_88,Electronics,1.0,273.17,0.27
2023-03-08,Product_78,Toys,1.0,484.19,0.12
2023-05-08,Product_32,Electronics,15.0,37.95,0.09
2023-01-18,Product_46,Toys,19.0,325.92,0.04
2023-01-25,Product_16,Home & Kitchen,10.0,41.68,0.05
2023-02-23,Product_68,Books,18.0,190.86,0.13
2023-02-27,Product_37,Home & Kitchen,3.0,402.89,0.18
2023-03-08,,Clothing,11.0,219.57,0.02
2023-04-14,,Electronics,15.0,498.61,0.28
2023-06-23,Product_14,Toys,11.0,281.73,0.23
2023-01-24,Product_95,Toys,17.0,163.98,0.18
2023-04-24,Product_55,Electronics,17.0,113.96,0.25
2023-02-01,Product_48,Electronics,6.0,178.51,0.02
2023-06-24,Product_82,Clothing,5.0,189.4,0.14
2023-03-27,,Home & Kitchen,8.0,39.01,0.19
2023-05-31,Product_74,Toys,2.0,187.94,0.25
2023-07-13,Product_7,Clothing,16.0,234.8,0.24
2023-05-07,Product_33,Home & Kitchen,12.0,362.76,0.08
2023-06-04,Product_23,Clothing,6.0,330.08,0.28
2023-05-10,Product_85,Toys,1.0,355.84,0.04
2023-01-17,Product_19,Electronics,4.0,9.14,0.26
2023-04-14,Product_19,Electronics,17.0,112.75,0.29
2023-06-10,Product_36,Home & Kitchen,13.0,332.53,0.05
2023-05-17,Product_29,Books,18.0,244.57,0.22
2023-02-12,Product_60,Home & Kitchen,5.0,7.63,0.01
2023-06-25,Product_82,Books,3.0,403.22,0.12
2023-02-08,Product_2,Clothing,11.0,387.54,0.15
2023-06-19,Product_1,Clothing,13.0,276.47,0.17
2023-01-26,Product_47,Toys,4.0,37.9,0.28
2023-04-09,Product_69,Books,14.0,384.42,0.2
2023-02-19,Product_20,,11.0,293.94,0.14
2023-06-02,Product_11,Electronics,10.0,392.07,0.24
2023-06-01,Product_2,Books,19.0,377.11,0.29
2023-01-13,Product_67,Home & Kitchen,18.0,402.49,0.01
2023-03-01,Product_87,Electronics,6.0,261.41,0.29
2023-05-15,Product_12,Electronics,15.0,74.46,0.03
2023-02-26,Product_20,Home & Kitchen,10.0,337.22,0.24
2023-02-05,Product_5,Electronics,5.0,312.13,0.08
2023-06-22,Product_37,Books,5.0,372.42,0.04
2023-01-20,Product_38,Toys,,89.09,0.13
2023-03-06,Product_94,Electronics,5.0,101.51,0.19
2023-01-08,Product_9,Books,3.0,445.75,0.11
2023-05-24,Product_98,Clothing,6.0,376.24,0.02
2023-05-22,Product_53,Books,4.0,454.57,0.18
2023-04-25,Product_44,Toys,18.0,380.56,0.27
2023-05-23,Product_99,Books,9.0,300.59,0.11
2023-04-02,Product_86,Home & Kitchen,17.0,328.8,0.06
2023-04-08,Product_24,Toys,13.0,445.12,0.13
2023-03-07,Product_81,Clothing,15.0,291.51,0.01
2023-02-01,Product_74,Home & Kitchen,17.0,318.03,0.25
2023-07-10,,Books,13.0,82.46,0.25
2023-03-27,,Toys,16.0,239.59,0.18
2023-02-20,Product_87,Clothing,4.0,359.62,0.11
2023-06-02,Product_96,Home & Kitchen,5.0,139.12,0.24
2023-07-05,Product_81,Clothing,5.0,105.12,0.17
2023-03-04,Product_81,Books,9.0,160.34,0.25
2023-07-09,Product_14,Clothing,17.0,124.54,0.19
2023-05-05,Product_9,Electronics,13.0,111.38,0.24
2023-05-30,Product_40,Home & Kitchen,2.0,215.3,0.18
2023-02-27,Product_66,,13.0,454.38,0.12
2023-02-27,Product_25,Books,19.0,255.99,0.29
2023-03-27,Product_73,Books,3.0,98.02,0.16
2023-02-18,Product_22,Clothing,10.0,43.1,0.18
2023-06-29,Product_4,Books,2.0,349.6,0.07
2023-06-19,Product_26,Toys,13.0,194.49,0.19
2023-03-11,Product_58,Toys,19.0,411.81,0.17
2023-01-15,Product_29,Toys,17.0,331.46,0.06
2023-02-23,Product_98,Electronics,14.0,399.14,0.02
2023-07-07,Product_87,Clothing,12.0,139.61,0.18
2023-04-11,Product_37,Electronics,,347.72,0.23
2023-01-08,Product_75,Books,11.0,135.71,0.16
2023-02-22,Product_70,Electronics,7.0,469.84,0.07
2023-03-01,Product_18,Books,4.0,320.01,0.2
2023-04-18,Product_85,Books,19.0,165.63,0.02
2023-01-05,Product_42,Home & Kitchen,1.0,138.41,0.13
2023-04-13,Product_100,Toys,3.0,99.51,0.05
2023-07-15,Product_41,,13.0,348.85,0.06
2023-01-06,Product_38,Home & Kitchen,15.0,113.26,0.06
2023-04-19,Product_34,Toys,2.0,299.68,0.12
2023-04-26,Product_17,Books,11.0,135.99,0.02
2023-04-04,Product_37,Books,4.0,332.67,0.12
2023-02-16,Product_25,Electronics,19.0,408.4,0.15
2023-04-09,Product_76,,17.0,390.12,0.14
2023-02-24,Product_87,Toys,3.0,381.62,0.11
2023-06-17,Product_86,Books,18.0,97.92,0.25
2023-02-21,Product_85,Clothing,8.0,48.75,0.04
2023-05-24,Product_27,Electronics,19.0,350.98,0.15
2023-01-13,Product_57,Toys,5.0,187.33,0.02
2023-04-24,Product_31,Books,7.0,219.01,0.02
2023-05-04,Product_6,Books,8.0,20.42,0.17
2023-04-16,Product_91,Clothing,5.0,133.49,0.17
2023-06-07,Product_40,Toys,17.0,21.67,0.26
2023-05-27,Product_98,,5.0,440.2,0.17
2023-05-25,Product_12,Electronics,4.0,125.48,0.29
2023-04-30,Product_53,Clothing,19.0,280.88,0.01
2023-03-04,Product_71,,2.0,24.29,0.03
2023-01-19,Product_10,Clothing,11.0,335.09,0.01
2023-04-02,Product_45,Electronics,13.0,164.9,0.06
2023-02-27,Product_17,Toys,15.0,449.47,0.16
2023-07-02,Product_26,Clothing,12.0,444.62,0.19
2023-03-31,,Home & Kitchen,11.0,166.02,0.01
2023-04-27,Product_92,Electronics,7.0,450.98,0.28
2023-03-03,Product_62,Electronics,5.0,498.1,0.25
2023-01-23,,Electronics,17.0,413.58,0.09
2023-05-07,Product_64,Home & Kitchen,9.0,423.21,0.02
2023-05-17,Product_2,Home & Kitchen,14.0,128.26,0.05
2023-05-20,Product_54,Books,12.0,290.47,0.04
2023-05-09,Product_65,Clothing,6.0,38.29,0.04
2023-02-27,Product_51,Books,17.0,51.98,0.16
2023-05-02,Product_53,,19.0,499.45,0.07
2023-01-01,Product_36,Home & Kitchen,19.0,166.69,0.11
